AU,TI,SO,citations WOS,citations all data bases,UT,PM
"Daubechies, I; Defrise, M; De Mol, C",An iterative thresholding algorithm for linear inverse problems with a sparsity constraint,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,1806,1935,WOS:000224146400001,
"Lobo, MS; Vandenberghe, L; Boyd, S; Lebret, H",Applications of second-order cone programming,LINEAR ALGEBRA AND ITS APPLICATIONS,1069,1126,WOS:000076918100012,
"MOLLOY, M; REED, B",A CRITICAL-POINT FOR RANDOM GRAPHS WITH A GIVEN DEGREE SEQUENCE,RANDOM STRUCTURES & ALGORITHMS,1042,1064,WOS:A1995QN95400003,
"GAVRUTA, P",A GENERALIZATION OF THE HYERS-ULAM-RASSIAS STABILITY OF APPROXIMATELY ADDITIVE MAPPINGS,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,945,970,WOS:A1994NV74100003,
"Xu, HK",Iterative algorithms for nonlinear operators,JOURNAL OF THE LONDON MATHEMATICAL SOCIETY-SECOND SERIES,889,935,WOS:000178058300017,
"WILES, A",MODULAR ELLIPTIC-CURVES AND FERMATS LAST THEOREM,ANNALS OF MATHEMATICS,756,771,WOS:A1995RC16400001,
"Candes, EJ; Donoho, DL",New tight frames of curvelets and optimal representations of objects with piecewise C-2 singularities,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,751,855,WOS:000187244700002,
"Keel, M; Tao, T",Endpoint Strichartz estimates,AMERICAN JOURNAL OF MATHEMATICS,749,762,WOS:000076236400003,
"Fan, XL; Zhao, D","On the spaces Lp(x)(Omega) and Wm, p(x)(Omega)",JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,736,763,WOS:000172302400006,
"Ran, ACM; Reurings, MCB",A fixed point theorem in partially ordered sets and some applications to matrix equations,PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,723,731,WOS:000189298800024,
"Constantin, A; Escher, J",Wave breaking for nonlinear nonlocal shallow water equations,ACTA MATHEMATICA,687,703,WOS:000078541100002,
"DELBAEN, F; SCHACHERMAYER, W",A GENERAL VERSION OF THE FUNDAMENTAL THEOREM OF ASSET PRICING,MATHEMATISCHE ANNALEN,665,684,WOS:A1994PU89700007,
"Fomin, S; Zelevinsky, A",Cluster algebras I: Foundations,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,651,659,WOS:000173651000007,
"Diethelm, K; Ford, NJ",Analysis of fractional differential equations,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,645,677,WOS:000173372900001,
